"","trial_type","stimulus","response","left_image","right_image","correct_response","correct"
"1","html-button-response","<div style=""max-width:600px;""><p>Please make sure you are sitting so that your eyes are about 16 inches away from your computer screen.</p>","0","","","",""
"2","html-button-response","<div style=""max-width:600px;""><p>Using headphones are reccomended for this experiment. Put the volume at a comfortable volume, about 40-50%.</p>","0","","","",""
"3","html-button-response","<div style=""max-width:600px;""><p>You will hear TWO sounds. The first is to alert you that the trial is beginning. The second is the TARGET sound. PAY ATTENTION TO THE SECOND SOUND IN EACH TRIAL.</p>","0","","","",""
"4","html-button-response","<div style=""max-width:600px;""><p>You will see 2 images on the screen. When you hear the TARGET SOUND, pick which image best matches the sound. <p> First let’s practice with animal shapes and sounds. Pick the key on the same side as the matching animal. </p>Which animal made the sound? <p>Use the Z button to pick the left animal and the M button to pick the right animal.</p>","0","","","",""
"5","video-keyboard-response","[""vid/BKvideo.mp4""]","null","","","",""
"6","html-button-response","<div style=""max-width:600px;""><p>Ready to begin? Press Continue to begin the practice trials.</p>","0","","","",""
"7","preload","","","","","",""
"8","bouba-kiki","PracSounds/8.wav","m","[""PracImgs/6.png""]","[""PracImgs/8.png""]","m","true"
"9","bouba-kiki","PracSounds/7.wav","null","[""PracImgs/1.png""]","[""PracImgs/7.png""]","m",""
"10","bouba-kiki","PracSounds/2.wav","z","[""PracImgs/2.png""]","[""PracImgs/5.png""]","z","true"
"11","bouba-kiki","PracSounds/4.wav","z","[""PracImgs/4.png""]","[""PracImgs/3.png""]","z","true"
"12","bouba-kiki","PracSounds/8.wav","m","[""PracImgs/2.png""]","[""PracImgs/8.png""]","m","true"
"13","bouba-kiki","PracSounds/4.wav","z","[""PracImgs/4.png""]","[""PracImgs/6.png""]","z","true"
"14","html-button-response","<div style=""max-width:600px;""><p>Instruction:</p> <p>Great job, you have finished the practice trials! Now for the experiment. <p> You will now see 2 abstract objects and hear an abstract sound. You need to pick the object that best matches the sound.Press the key on the same side as the matching shape. </p> <p>Press Z for shapes on the left and M for shapes on the right. </p> <p>If you take too long, the trial will end and you will start the next trial. Press ""esc"" to leave the study at any time. </p></div>","0","","","",""
"15","bouba-kiki","sound/baba_rep.wav","m","[""img/bouba_7_L_white.png""]","[""img/kiki_7_L_white.png""]","",""
"16","bouba-kiki","sound/teetee.wav","z","[""img/kiki_3_L_white.png""]","[""img/bouba_3_L_white.png""]","",""
"17","bouba-kiki","sound/teetee.wav","m","[""img/bouba_7_S_white.png""]","[""img/kiki_7_S_white.png""]","",""
"18","bouba-kiki","sound/gaga_rep.wav","m","[""img/kiki_7_L_white.png""]","[""img/bouba_7_L_white.png""]","",""
"19","bouba-kiki","sound/gaga_rep.wav","z","[""img/bouba_3_S_white.png""]","[""img/kiki_3_S_white.png""]","",""
"20","bouba-kiki","sound/keekee.wav","m","[""img/bouba_3_L_white.png""]","[""img/kiki_3_L_white.png""]","",""
"21","bouba-kiki","sound/baba_rep.wav","m","[""img/kiki_3_L_white.png""]","[""img/bouba_3_L_white.png""]","",""
"22","bouba-kiki","sound/keekee.wav","z","[""img/kiki_3_S_white.png""]","[""img/bouba_3_S_white.png""]","",""
"23","bouba-kiki","sound/gaga_rep.wav","z","[""img/bouba_3_L_white.png""]","[""img/kiki_3_L_white.png""]","",""
"24","bouba-kiki","sound/teetee.wav","m","[""img/bouba_3_S_white.png""]","[""img/kiki_3_S_white.png""]","",""
"25","bouba-kiki","sound/baba_rep.wav","z","[""img/bouba_3_S_white.png""]","[""img/kiki_3_S_white.png""]","",""
"26","bouba-kiki","sound/keekee.wav","z","[""img/kiki_7_S_white.png""]","[""img/bouba_7_S_white.png""]","",""
"27","bouba-kiki","sound/teetee.wav","m","[""img/kiki_7_L_white.png""]","[""img/bouba_7_L_white.png""]","",""
"28","bouba-kiki","sound/keekee.wav","m","[""img/bouba_7_L_white.png""]","[""img/kiki_7_L_white.png""]","",""
"29","bouba-kiki","sound/gaga_rep.wav","z","[""img/kiki_7_S_white.png""]","[""img/bouba_7_S_white.png""]","",""
"30","bouba-kiki","sound/baba_rep.wav","m","[""img/kiki_7_S_white.png""]","[""img/bouba_7_S_white.png""]","",""
"31","bouba-kiki","sound/baba_rep.wav","m","[""img/kiki_7_L_white.png""]","[""img/bouba_7_L_white.png""]","",""
"32","bouba-kiki","sound/teetee.wav","m","[""img/bouba_3_L_white.png""]","[""img/kiki_3_L_white.png""]","",""
"33","bouba-kiki","sound/teetee.wav","z","[""img/kiki_7_S_white.png""]","[""img/bouba_7_S_white.png""]","",""
"34","bouba-kiki","sound/gaga_rep.wav","z","[""img/bouba_7_L_white.png""]","[""img/kiki_7_L_white.png""]","",""
"35","bouba-kiki","sound/gaga_rep.wav","z","[""img/kiki_3_S_white.png""]","[""img/bouba_3_S_white.png""]","",""
"36","bouba-kiki","sound/keekee.wav","z","[""img/kiki_3_L_white.png""]","[""img/bouba_3_L_white.png""]","",""
"37","bouba-kiki","sound/baba_rep.wav","z","[""img/bouba_3_L_white.png""]","[""img/kiki_3_L_white.png""]","",""
"38","bouba-kiki","sound/keekee.wav","m","[""img/bouba_3_S_white.png""]","[""img/kiki_3_S_white.png""]","",""
