"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","width","height","left_image","right_image"
"","","","","","bouba-kiki",2,82021,"0.0-2.0-0.0",24411,"sound/baba_rep.wav","shiftleft",1320,700,"[""img/bouba_3_S_white.png""]","[""img/kiki_3_S_white.png""]"
"","","","","","bouba-kiki",3,99250,"0.0-2.0-0.1",12261,"sound/teetee.wav","shiftright",1320,700,"[""img/kiki_7_L_white.png""]","[""img/bouba_7_L_white.png""]"
"","","","","","bouba-kiki",4,105419,"0.0-2.0-0.2",1344,"sound/gaga_rep.wav","shiftleft",1320,700,"[""img/kiki_3_S_white.png""]","[""img/bouba_3_S_white.png""]"
"","","","","","bouba-kiki",5,111923,"0.0-2.0-0.3",1995,"sound/teetee.wav","shiftright",1320,700,"[""img/bouba_7_S_white.png""]","[""img/kiki_7_S_white.png""]"
"","","","","","bouba-kiki",6,119062,"0.0-2.0-0.4",1408,"sound/keekee.wav","shiftleft",1320,700,"[""img/bouba_7_L_white.png""]","[""img/kiki_7_L_white.png""]"
"","","","","","bouba-kiki",7,124742,"0.0-2.0-0.5",1173,"sound/gaga_rep.wav","shiftright",1320,700,"[""img/kiki_3_L_white.png""]","[""img/bouba_3_L_white.png""]"
"","","","","","bouba-kiki",8,130990,"0.0-2.0-0.6",1739,"sound/gaga_rep.wav","shiftleft",1320,700,"[""img/bouba_7_S_white.png""]","[""img/kiki_7_S_white.png""]"
"","","","","","bouba-kiki",9,137425,"0.0-2.0-0.7",1925,"sound/keekee.wav","shiftleft",1320,700,"[""img/kiki_3_S_white.png""]","[""img/bouba_3_S_white.png""]"
"","","","","","bouba-kiki",10,146364,"0.0-2.0-0.8",4427,"sound/gaga_rep.wav","shiftright",1320,700,"[""img/bouba_7_L_white.png""]","[""img/kiki_7_L_white.png""]"
"","","","","","bouba-kiki",11,151952,"0.0-2.0-0.9",1077,"sound/baba_rep.wav","shiftleft",1320,700,"[""img/kiki_3_L_white.png""]","[""img/bouba_3_L_white.png""]"
"","","","","","bouba-kiki",12,159585,"0.0-2.0-0.10",3125,"sound/keekee.wav","shiftleft",1320,700,"[""img/kiki_7_S_white.png""]","[""img/bouba_7_S_white.png""]"
"","","","","","bouba-kiki",13,190881,"0.0-2.0-0.11",26784,"sound/baba_rep.wav","escape",1320,700,"[""img/kiki_7_S_white.png""]","[""img/bouba_7_S_white.png""]"
