"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","width","height","left_image","right_image","correct_response","correct"
"","","","","","bouba-kiki",2,9660,"0.0-2.0-0.0",3820,"PracSounds/7.wav","shiftright",1440,704,"[""PracImgs/6.png""]","[""PracImgs/7.png""]","shiftright","true"
"","","","","","bouba-kiki",3,16859,"0.0-2.0-0.1",2406,"PracSounds/8.wav","shiftleft",1440,704,"[""PracImgs/8.png""]","[""PracImgs/3.png""]","shiftleft","true"
"","","","","","bouba-kiki",4,28998,"0.0-2.0-0.2",7425,"PracSounds/1.wav","shiftleft",1440,704,"[""PracImgs/2.png""]","[""PracImgs/1.png""]","shiftright","false"
"","","","","","bouba-kiki",5,38442,"0.0-2.0-0.3",4412,"PracSounds/5.wav","shiftleft",1440,704,"[""PracImgs/5.png""]","[""PracImgs/4.png""]","shiftleft","true"
"","","","","","bouba-kiki",6,45274,"0.0-3.0-0.0-0.0",2325,"PracSounds/1.wav","shiftleft",1440,704,"[""PracImgs/1.png""]","[""PracImgs/6.png""]","shiftleft","true"
"","","","","","bouba-kiki",7,52446,"0.0-3.0-0.1-0.1",2380,"PracSounds/4.wav","shiftleft",1440,704,"[""PracImgs/4.png""]","[""PracImgs/7.png""]","shiftleft","true"
"","","","","","bouba-kiki",8,59123,"0.0-3.0-0.2-0.2",1919,"PracSounds/2.wav","shiftright",1440,704,"[""PracImgs/3.png""]","[""PracImgs/2.png""]","shiftright","true"
"","","","","","html-button-response",9,65214,"0.0-4.0",6089,"<div style=""max-width:600px;""><p>Instruction:</p> <p>In this experiment, you will see 2 images on the screen. You will hear a sound, then you will pick which image best matches the sound. In the practice trials, you will see 2 animals, then hear an animal sound. Which animal made the sound? Use the LEFT SHIFT button to pick the left animal and the RIGHT SHIFT button to pick the right animal. Do you have any questions?</p></div>","0",NA,NA,"","","",""
"","","","","","bouba-kiki",10,71385,"0.0-5.0-0.0",1440,"sound/baba_rep.wav","shiftleft",1440,704,"[""img/bouba_3_S_white.png""]","[""img/kiki_3_S_white.png""]","",""
"","","","","","bouba-kiki",11,77438,"0.0-5.0-0.1",1355,"sound/teetee.wav","shiftleft",1440,704,"[""img/kiki_7_L_white.png""]","[""img/bouba_7_L_white.png""]","",""
"","","","","","bouba-kiki",12,83621,"0.0-5.0-0.2",1506,"sound/gaga_rep.wav","shiftright",1440,704,"[""img/kiki_3_S_white.png""]","[""img/bouba_3_S_white.png""]","",""
"","","","","","bouba-kiki",13,89855,"0.0-5.0-0.3",1721,"sound/teetee.wav","shiftright",1440,704,"[""img/bouba_7_S_white.png""]","[""img/kiki_7_S_white.png""]","",""
"","","","","","bouba-kiki",14,99687,"0.0-5.0-0.4",5184,"sound/keekee.wav","shiftright",1440,704,"[""img/bouba_7_L_white.png""]","[""img/kiki_7_L_white.png""]","",""
"","","","","","bouba-kiki",15,105327,"0.0-5.0-0.5",1132,"sound/gaga_rep.wav","shiftright",1440,704,"[""img/kiki_3_L_white.png""]","[""img/bouba_3_L_white.png""]","",""
"","","","","","bouba-kiki",16,111325,"0.0-5.0-0.6",1489,"sound/gaga_rep.wav","shiftright",1440,704,"[""img/bouba_7_S_white.png""]","[""img/kiki_7_S_white.png""]","",""
"","","","","","bouba-kiki",17,124557,"0.0-5.0-0.7",8719,"sound/keekee.wav","shiftright",1440,704,"[""img/kiki_3_S_white.png""]","[""img/bouba_3_S_white.png""]","",""
"","","","","","bouba-kiki",18,131230,"0.0-5.0-0.8",2159,"sound/gaga_rep.wav","shiftright",1440,704,"[""img/bouba_7_L_white.png""]","[""img/kiki_7_L_white.png""]","",""
"","","","","","bouba-kiki",19,136766,"0.0-5.0-0.9",1027,"sound/baba_rep.wav","shiftright",1440,704,"[""img/kiki_3_L_white.png""]","[""img/bouba_3_L_white.png""]","",""
"","","","","","bouba-kiki",20,144150,"0.0-5.0-0.10",2871,"sound/keekee.wav","shiftright",1440,704,"[""img/kiki_7_S_white.png""]","[""img/bouba_7_S_white.png""]","",""
