"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","width","height","left_image","right_image"
"","","","","","bouba-kiki",2,8100,"0.0-2.0-0.0","215","sound/baba_rep.wav","shiftright",1273,625,"[""img/bouba_3_S_white.png""]","[""img/kiki_3_S_white.png""]"
"","","","","","bouba-kiki",3,13060,"0.0-2.0-0.1","325","sound/teetee.wav","shiftleft",1273,625,"[""img/kiki_7_L_white.png""]","[""img/bouba_7_L_white.png""]"
"","","","","","bouba-kiki",4,17867,"0.0-2.0-0.2","96","sound/gaga_rep.wav","shiftright",1273,625,"[""img/kiki_3_S_white.png""]","[""img/bouba_3_S_white.png""]"
"","","","","","bouba-kiki",5,23210,"0.0-2.0-0.3","836","sound/teetee.wav","shiftleft",1273,625,"[""img/bouba_7_S_white.png""]","[""img/kiki_7_S_white.png""]"
"","","","","","bouba-kiki",6,28537,"0.0-2.0-0.4","598","sound/keekee.wav","shiftleft",1273,625,"[""img/bouba_7_L_white.png""]","[""img/kiki_7_L_white.png""]"
"","","","","","bouba-kiki",7,33623,"0.0-2.0-0.5","578","sound/gaga_rep.wav","shiftleft",1273,625,"[""img/kiki_3_L_white.png""]","[""img/bouba_3_L_white.png""]"
"","","","","","bouba-kiki",8,38501,"0.0-2.0-0.6","369","sound/gaga_rep.wav","shiftleft",1273,625,"[""img/bouba_7_S_white.png""]","[""img/kiki_7_S_white.png""]"
"","","","","","bouba-kiki",9,43268,"0.0-2.0-0.7","255","sound/keekee.wav","shiftleft",1273,625,"[""img/kiki_3_S_white.png""]","[""img/bouba_3_S_white.png""]"
"","","","","","bouba-kiki",10,50712,"0.0-2.0-0.8","2934","sound/gaga_rep.wav","shiftleft",1273,625,"[""img/bouba_7_L_white.png""]","[""img/kiki_7_L_white.png""]"
"","","","","","bouba-kiki",11,55740,"0.0-2.0-0.9","520","sound/baba_rep.wav","shiftleft",1273,625,"[""img/kiki_3_L_white.png""]","[""img/bouba_3_L_white.png""]"
"","","","","","bouba-kiki",12,60889,"0.0-2.0-0.10","639","sound/keekee.wav","shiftleft",1273,625,"[""img/kiki_7_S_white.png""]","[""img/bouba_7_S_white.png""]"
"","","","","","bouba-kiki",13,65512,"0.0-2.0-0.11","110","sound/baba_rep.wav","shiftleft",1273,625,"[""img/kiki_7_S_white.png""]","[""img/bouba_7_S_white.png""]"
"","","","","","bouba-kiki",14,70249,"0.0-2.0-0.12","229","sound/teetee.wav","shiftleft",1273,625,"[""img/bouba_3_L_white.png""]","[""img/kiki_3_L_white.png""]"
"","","","","","bouba-kiki",15,76430,"0.0-2.0-0.13","1634","sound/teetee.wav","shiftleft",1273,625,"[""img/kiki_3_S_white.png""]","[""img/bouba_3_S_white.png""]"
"","","","","","bouba-kiki",16,81184,"0.0-2.0-0.14","244","sound/keekee.wav","shiftleft",1273,625,"[""img/bouba_3_L_white.png""]","[""img/kiki_3_L_white.png""]"
"","","","","","bouba-kiki",17,86255,"0.0-2.0-0.15","560","sound/baba_rep.wav","shiftleft",1273,625,"[""img/bouba_7_L_white.png""]","[""img/kiki_7_L_white.png""]"
"","","","","","bouba-kiki",18,93929,"0.0-2.0-0.16","3161","sound/baba_rep.wav","shiftleft",1273,625,"[""img/kiki_3_S_white.png""]","[""img/bouba_3_S_white.png""]"
"","","","","","bouba-kiki",19,98870,"0.0-2.0-0.17","432","sound/teetee.wav","shiftleft",1273,625,"[""img/bouba_7_L_white.png""]","[""img/kiki_7_L_white.png""]"
"","","","","","bouba-kiki",20,103679,"0.0-2.0-0.18","299","sound/gaga_rep.wav","shiftleft",1273,625,"[""img/bouba_3_S_white.png""]","[""img/kiki_3_S_white.png""]"
"","","","","","bouba-kiki",21,113150,"0.0-2.0-0.19","4960","sound/teetee.wav","shiftright",1273,625,"[""img/kiki_7_S_white.png""]","[""img/bouba_7_S_white.png""]"
"","","","","","bouba-kiki",22,145659,"0.0-2.0-0.20","null","sound/keekee.wav","null",1273,625,"[""img/kiki_7_L_white.png""]","[""img/bouba_7_L_white.png""]"
"","","","","","bouba-kiki",23,150824,"0.0-2.0-0.21","659","sound/gaga_rep.wav","shiftleft",1273,625,"[""img/bouba_3_L_white.png""]","[""img/kiki_3_L_white.png""]"
"","","","","","bouba-kiki",24,155760,"0.0-2.0-0.22","427","sound/gaga_rep.wav","shiftleft",1273,625,"[""img/kiki_7_S_white.png""]","[""img/bouba_7_S_white.png""]"
"","","","","","bouba-kiki",25,161899,"0.0-2.0-0.23","1631","sound/keekee.wav","shiftleft",1273,625,"[""img/bouba_3_S_white.png""]","[""img/kiki_3_S_white.png""]"
"","","","","","bouba-kiki",26,166747,"0.0-2.0-0.24","340","sound/gaga_rep.wav","shiftleft",1273,625,"[""img/kiki_7_L_white.png""]","[""img/bouba_7_L_white.png""]"
"","","","","","bouba-kiki",27,173918,"0.0-2.0-0.25","2664","sound/baba_rep.wav","shiftleft",1273,625,"[""img/bouba_3_L_white.png""]","[""img/kiki_3_L_white.png""]"
"","","","","","bouba-kiki",28,178435,"0.0-2.0-0.26","6","sound/keekee.wav","shiftright",1273,625,"[""img/bouba_7_S_white.png""]","[""img/kiki_7_S_white.png""]"
"","","","","","bouba-kiki",29,184386,"0.0-2.0-0.27","1440","sound/baba_rep.wav","shiftleft",1273,625,"[""img/bouba_7_S_white.png""]","[""img/kiki_7_S_white.png""]"
"","","","","","bouba-kiki",30,189282,"0.0-2.0-0.28","386","sound/teetee.wav","shiftright",1273,625,"[""img/kiki_3_L_white.png""]","[""img/bouba_3_L_white.png""]"
"","","","","","bouba-kiki",31,195952,"0.0-2.0-0.29","2159","sound/teetee.wav","shiftright",1273,625,"[""img/bouba_3_S_white.png""]","[""img/kiki_3_S_white.png""]"
